50,0.01,298,575,239,427,48
50,0.02,279,573,247,429,43
50,0.05,341,677,246,453,45
50,0.1,321,625,247,454,49
60,0.01,270,524,222,400,43
60,0.02,324,633,192,354,39
60,0.05,325,624,187,346,36
60,0.1,310,609,181,333,36
70,0.01,266,530,190,365,42
70,0.02,277,538,185,340,42
70,0.05,305,595,209,370,41
70,0.1,297,589,221,390,41
80,0.01,283,569,187,343,39
80,0.02,260,505,181,330,38
80,0.05,267,536,192,328,39
80,0.1,247,470,185,322,40
90,0.01,234,463,188,326,37
90,0.02,226,448,183,330,38
90,0.05,248,459,181,326,29
90,0.1,249,500,171,315,33
100,0.01,218,409,166,298,28
100,0.02,224,405,177,299,31
100,0.05,220,419,180,315,35
100,0.1,237,452,203,354,38
110,0.01,206,384,160,295,31
110,0.02,205,392,158,291,30
110,0.05,198,383,163,303,23
110,0.1,203,391,160,282,24
120,0.01,150,307,152,280,34
120,0.02,173,324,142,268,35
120,0.05,186,338,159,277,34
120,0.1,233,419,139,259,29
